scenario_name,diff_type,modern_or_old
shp_ind_shift,per-diff,modern
shp_ind_shift,diff,modern
shp_ind_shift_1950,per-diff,old
shp_ind_shift_1950,diff,old
shp_atl_shift,per-diff,modern
shp_atl_shift,diff,modern
shp_atl_shift_1950,per-diff,old
shp_atl_shift_1950,diff,old
reference,per-diff,modern
reference,diff,modern
reference_1950,per-diff,old
reference_1950,diff,old
shp_30p_red,per-diff,modern
shp_30p_red,diff,modern
shp_60p_red,per-diff,modern
shp_60p_red,diff,modern
shp_60p_red_1950,per-diff,old
shp_60p_red_1950,diff,old
